Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C8",0603,2,100nF,
"C10, C11, C12, C9",1210,4,C,
C13,0603,1,3.3nF,
C14,0603,1,57pF,
C15,0603,1,1nF,
C16,0603,1,680nF,
C17,CP_Radial_D8.0mm_P3.50mm,1,C_Polarized,
"C18, C19, C20",CP_Radial_D8.0mm_P3.50mm,3,220u,
C2,0603,1,12pF,
C21,0603,1,C_Small,
"C22, C4, C5, C6, C7",1206,5,C,
C23,0603,1,100n,
"C25, C26",0805,2,22u,
C3,0603,1,2.2uF,
D1,D_SMF,1,K34,
D2,D_SMC,1,SMCJ28A,
"D3, D4",0603,2,LED,
F1,Fuse_Littelfuse-NANO2-451_453,1,Fuse,
L1,PQ2014_10uH,1,10u,
L2,L_Sunlord_MWSA0402S,1,10u,
"Q1, Q2",TDSON-8-1,2,BSC070N10,
R1,0603,1,442R,
R10,0603,1,30K,
R11,0603,1,24.9K,
R12,0603,1,1K,
"R13, R4",0603,2,4k7,
R14,0603,1,118k,
"R15, R16, R5, R7",0603,4,10K,
"R17, R6",0603,2,？,
"R2, R3",0603,2,0R,
R8,0603,1,20K,
R9,0603,1,2K,
U1,Texas_RGY_R-PVQFN-N20_EP2.05x3.05mm,1,LM5145,
U2,SOT-23-6,1,LMR51610,
